City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Asau,RO,2021-06-11 11:04:29,46.4333,26.4,68.92,75,99,1.54
143,Mahebourg,MU,2021-06-11 11:01:06,-20.4081,57.7,77.25,73,68,20.27
144,Keti Bandar,PK,2021-06-11 11:04:30,24.1447,67.4497,89.4,65,2,22.01
145,Bethel,US,2021-06-11 11:04:30,41.3712,-73.414,59.99,81,40,3.44
146,Baoqing,CN,2021-06-11 11:04:30,46.3317,132.2111,61.12,96,100,5.64
147,Tazovskiy,RU,2021-06-11 11:04:31,67.4667,78.7,46.15,88,100,10.71
148,Uruzgan,AF,2021-06-11 11:04:31,32.8333,66.0,99.34,3,0,7.52
149,Matamoros,MX,2021-06-11 11:04:31,25.5333,-103.25,76.1,31,40,2.21
150,Liberal,US,2021-06-11 11:04:31,37.0431,-100.921,72.64,94,1,8.05
151,Guadalupe Y Calvo,MX,2021-06-11 11:04:32,26.1,-106.9667,58.28,43,31,5.14
152,Esperance,AU,2021-06-11 11:04:32,-33.8667,121.9,60.96,77,100,9.28
153,Amalfi,CO,2021-06-11 11:04:32,6.9102,-75.0776,57.47,98,92,2.75
154,Tashtyp,RU,2021-06-11 11:04:33,52.7939,89.8983,57.78,68,99,8.37
155,Shimoda,JP,2021-06-11 11:04:33,34.6667,138.95,67.1,82,100,3.31
156,Agirish,RU,2021-06-11 11:04:33,61.9247,63.0231,75.78,23,21,6.06
157,Coquimbo,CL,2021-06-11 11:00:10,-29.9533,-71.3436,44.6,100,90,9.22
158,Port Keats,AU,2021-06-11 11:04:34,-14.25,129.55,71.53,41,55,7.14
159,Matam,SN,2021-06-11 11:04:34,15.6175,-13.3303,94.37,33,95,11.32
160,Salinas,US,2021-06-11 10:59:56,36.6777,-121.6555,51.82,74,11,1.92
161,Bandarbeyla,SO,2021-06-11 11:04:35,9.4942,50.8122,92.95,45,94,25.68
162,Severo-Kurilsk,RU,2021-06-11 11:04:35,50.6789,156.125,47.32,82,93,3.71
163,Sao Filipe,CV,2021-06-11 11:04:35,14.8961,-24.4956,73.58,84,99,3.13
164,Saskylakh,RU,2021-06-11 11:04:35,71.9167,114.0833,47.3,80,87,19.84
165,Eldorado,BR,2021-06-11 11:04:36,-23.7869,-54.2836,62.89,95,100,7.56
166,Ola,RU,2021-06-11 11:04:36,59.5833,151.2833,45.01,76,49,3.0
167,Matadi,CD,2021-06-11 11:04:37,-5.8167,13.45,92.23,47,56,6.08
168,Nara,JP,2021-06-11 11:04:37,34.6851,135.8049,76.91,50,100,3.02
169,Chuy,UY,2021-06-11 11:04:37,-33.6971,-53.4616,46.0,82,0,10.16
170,Codrington,AU,2021-06-11 11:04:38,-38.2667,141.9667,51.85,85,3,4.43
171,Westport,US,2021-06-11 11:04:38,41.1415,-73.3579,62.38,80,1,4.0
172,Alexandria,EG,2021-06-11 11:00:39,31.2156,29.9553,79.74,51,5,11.7
173,Nizwa,OM,2021-06-11 11:04:38,22.9333,57.5333,110.5,15,8,8.32
174,Chokurdakh,RU,2021-06-11 11:04:39,70.6333,147.9167,52.68,39,0,11.72
175,Ust-Tsilma,RU,2021-06-11 11:04:39,65.441,52.1498,80.65,19,83,9.82
176,Torbay,CA,2021-06-11 11:04:39,47.6666,-52.7314,40.75,95,100,5.99
177,Pacific Grove,US,2021-06-11 11:04:40,36.6177,-121.9166,51.48,84,11,1.99
178,Unai,BR,2021-06-11 11:04:40,-16.3575,-46.9061,69.42,62,99,2.01
179,Rani,IN,2021-06-11 11:04:40,25.3503,73.3089,105.26,23,0,14.9
180,Kapuskasing,CA,2021-06-11 11:04:40,49.4169,-82.4331,44.6,93,13,4.83
181,Harindanga,IN,2021-06-11 11:04:41,22.0383,88.3214,82.38,68,100,3.47
182,Cartagena,CO,2021-06-11 11:02:16,10.3997,-75.5144,78.69,87,63,3.2
183,Victoria,HK,2021-06-11 11:00:14,22.2855,114.1577,87.96,88,60,1.01
184,Tual,ID,2021-06-11 11:04:41,-5.6667,132.75,81.45,82,74,16.24
185,Marzuq,YE,2021-06-11 11:04:42,14.4,46.4667,100.04,11,74,10.85
186,Curup,ID,2021-06-11 11:04:42,-3.4667,102.5333,70.52,98,99,1.43
187,Bambous Virieux,MU,2021-06-11 11:04:42,-20.3428,57.7575,78.22,72,80,19.53
188,Bantry,IE,2021-06-11 11:04:43,51.6833,-9.45,60.28,69,85,11.23
189,Qui Nhon,VN,2021-06-11 11:00:49,13.7667,109.2333,83.34,74,100,6.04
190,Khatanga,RU,2021-06-11 11:04:43,71.9667,102.5,38.71,61,97,14.38
191,Sabha,LY,2021-06-11 11:04:43,27.0377,14.4283,90.64,18,0,6.04
192,Saint-Pierre,RE,2021-06-11 11:04:44,-21.3393,55.4781,77.29,76,90,25.32
193,Saint-Francois,FR,2021-06-11 11:04:44,46.4154,3.9054,82.67,52,0,4.61
194,Castrillon,ES,2021-06-11 11:04:44,43.3979,-6.7922,61.34,57,1,8.79
195,Zhigansk,RU,2021-06-11 11:04:45,66.7697,123.3711,58.41,48,100,4.68
196,Rocha,UY,2021-06-11 11:04:45,-34.4833,-54.3333,45.72,71,2,9.37
197,East London,ZA,2021-06-11 11:04:45,-33.0153,27.9116,78.24,38,6,7.61
198,Fort Nelson,CA,2021-06-11 11:00:14,58.8053,-122.7002,47.79,100,90,3.44
199,Abu Samrah,SY,2021-06-11 11:04:46,35.3029,37.1841,84.09,29,0,22.84
200,Belem De Sao Francisco,BR,2021-06-11 11:04:46,-8.7539,-38.9658,72.84,74,39,12.95
201,Bathsheba,BB,2021-06-11 11:04:46,13.2167,-59.5167,81.21,65,75,13.8
202,Malakal,SS,2021-06-11 11:04:46,9.5334,31.6605,98.74,28,96,4.56
203,Rio Gallegos,AR,2021-06-11 11:04:47,-51.6226,-69.2181,33.85,86,0,10.36
204,Musoma,TZ,2021-06-11 11:04:47,-1.5,33.8,78.76,50,42,7.7
205,Manzhouli,CN,2021-06-11 11:04:47,49.6,117.4333,74.03,32,9,7.38
206,Poso,ID,2021-06-11 11:04:48,-1.3959,120.7524,79.43,83,49,1.59
207,Jacareacanga,BR,2021-06-11 11:04:48,-6.2222,-57.7528,73.65,90,97,0.98
208,Molepolole,BW,2021-06-11 11:04:48,-24.4066,25.4951,70.9,27,0,5.01
209,Unity,CA,2021-06-11 11:04:49,52.4501,-109.1682,51.3,94,100,19.28
210,Sananduva,BR,2021-06-11 11:04:49,-27.9497,-51.8067,52.02,95,79,3.31
